2026-05-25 02:39:30,560 WARNING No .env file found in expected locations: C:\git\eagle_hackathon\apps\database\.env, C:\git\eagle_hackathon\apps\.env, C:\git\eagle_hackathon\apps\database\.env
2026-05-25 02:39:54,609 WARNING No .env file found in expected locations: C:\git\eagle_hackathon\apps\database\.env, C:\git\eagle_hackathon\apps\.env, C:\git\eagle_hackathon\.env
2026-05-25 07:10:28,005 INFO Extracting data from Excel: C:\git\eagle_hackathon\apps\database\data\clinical_study_export_20260520_231947.xlsx
2026-05-25 07:14:12,220 INFO Extracting data from Excel: C:\git\eagle_hackathon\apps\database\data\clinical_study_export_20260520_231947.xlsx
2026-05-25 07:14:51,822 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-038')]
2026-05-25 07:14:51,850 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-039')]
2026-05-25 07:14:51,886 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-040')]
2026-05-25 07:14:51,913 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-041')]
2026-05-25 07:14:51,941 WARNING Duplicate row in studies with PK [('study_id', 'ST-2026-020')]
2026-05-25 07:14:51,969 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-042')]
2026-05-25 07:14:51,997 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-043')]
2026-05-25 07:14:52,024 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-044')]
2026-05-25 07:14:52,055 WARNING Duplicate row in studies with PK [('study_id', 'ST-2026-021')]
2026-05-25 07:14:52,085 WARNING Duplicate row in studies with PK [('study_id', 'ST-2025-031')]
2026-05-25 07:14:52,114 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-045')]
2026-05-25 07:14:52,141 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-050')]
2026-05-25 07:14:52,173 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-051')]
2026-05-25 07:14:52,205 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-054')]
2026-05-25 07:14:52,235 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-055')]
2026-05-25 07:14:52,265 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-057')]
2026-05-25 07:14:52,296 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-058')]
2026-05-25 07:14:52,325 WARNING Duplicate row in studies with PK [('study_id', 'ST-2024-060')]
